2023-06-29,AAPL,Vanguard Total Stock Market Index Fund,465990265,83519433205
2023-06-29,AAPL,Vanguard 500 Index Fund,352024182,63093292635
2023-08-30,AAPL,Fidelity 500 Index Fund,169378703,30357744215
2023-09-29,AAPL,SPDR S&P 500 ETF Trust,165192563,29607462360
2023-09-29,AAPL,iShares Core S&P 500 ETF,138984763,24910238478
2023-06-29,AAPL,Vanguard Growth Index Fund,127130805,22785653636
2023-08-30,AAPL,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",124293053,22277043358
2023-06-29,AAPL,Vanguard Institutional Index Fund-Institutional Index Fund,100926716,18089094877
2023-08-30,AAPL,Vanguard Information Technology Index Fund,76972129,13795714351
2023-09-29,AAPL,Select Sector SPDR Fund-Technology,64568089,11572538315
2023-06-29,META,Vanguard Total Stock Market Index Fund,68992468,21787820552
2023-06-29,META,Vanguard 500 Index Fund,52670459,16633330309
2023-08-30,META,Fidelity Contrafund Inc,41359091,13061200432
2023-09-29,META,Growth Fund Of America Inc,31783082,10037096907
2023-08-30,META,Fidelity 500 Index Fund,25342720,8003230666
2023-09-29,META,SPDR S&P 500 ETF Trust,24986558,7890754711
2023-08-30,META,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",24503642,7738249844
2023-09-29,META,iShares Core S&P 500 ETF,21019429,6637935421
2023-06-29,META,Vanguard Growth Index Fund,18821479,5943822838
2023-06-29,META,Vanguard Institutional Index Fund-Institutional Index Fund,15100820,4768838771
2023-06-29,AMZN,Vanguard Total Stock Market Index Fund,272001116,38009437443
2023-06-29,AMZN,Vanguard 500 Index Fund,212534560,29699580581
2023-09-29,AMZN,SPDR S&P 500 ETF Trust,102059546,14261801518
2023-08-30,AMZN,Fidelity 500 Index Fund,102263267,14290269492
2023-09-29,AMZN,iShares Core S&P 500 ETF,85868027,11999198564
2023-08-30,AMZN,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",81080387,11330173724
2023-06-29,AMZN,Vanguard Growth Index Fund,74202601,10369071871
2023-06-29,AMZN,Vanguard Institutional Index Fund-Institutional Index Fund,60935063,8515066038
2023-09-29,AMZN,Growth Fund Of America Inc,54146742,7566466024
2023-08-30,AMZN,Fidelity Contrafund Inc,48417620,6765878484
2023-06-29,GOOGL,Vanguard Total Stock Market Index Fund,185282814,24133086523
2023-06-29,GOOGL,Vanguard 500 Index Fund,141449822,18423839315
2023-08-30,GOOGL,Fidelity 500 Index Fund,68060963,8864940430
2023-09-29,GOOGL,SPDR S&P 500 ETF Trust,66689982,8686370155
2023-09-29,GOOGL,iShares Core S&P 500 ETF,56109530,7308266282
2023-06-29,GOOGL,Vanguard Growth Index Fund,50544780,6583457595
2023-08-30,GOOGL,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",46947679,6114935189
2023-06-29,GOOGL,Vanguard Institutional Index Fund-Institutional Index Fund,40557247,5282581421
2023-09-29,GOOGL,Growth Fund Of America Inc,32689839,4257851529
2023-08-30,GOOGL,Vanguard/Wellington Fund Inc.,29762317,3876541789
2023-06-29,NVDA,Vanguard Total Stock Market Index Fund,73271028,33522228735
2023-06-29,NVDA,Vanguard 500 Index Fund,58883488,26939785169
2023-08-30,NVDA,Fidelity 500 Index Fund,28332496,12962400521
2023-09-29,NVDA,SPDR S&P 500 ETF Trust,27764031,12702322093
2023-09-29,NVDA,iShares Core S&P 500 ETF,23359174,10687055924
2023-06-29,NVDA,Vanguard Growth Index Fund,19989861,9145561501
2023-08-30,NVDA,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",19518481,8929900432
2023-06-29,NVDA,Vanguard Institutional Index Fund-Institutional Index Fund,16882359,7723848230
2023-08-30,NVDA,Fidelity Growth Company Fund,14003650,6406810048
2023-08-30,NVDA,Fidelity Blue Chip Growth Fund,10679513,4885984096
2023-06-29,MSFT,Vanguard Total Stock Market Index Fund,231883087,82673276725
2023-06-29,MSFT,Vanguard 500 Index Fund,177034936,63118265515
2023-08-30,MSFT,Fidelity 500 Index Fund,85181943,30369918033
2023-09-29,MSFT,SPDR S&P 500 ETF Trust,83514381,29775382155
2023-09-29,MSFT,iShares Core S&P 500 ETF,70264910,25051548276
2023-06-29,MSFT,Vanguard Growth Index Fund,63262454,22554962647
2023-08-30,MSFT,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",58757680,20948875578
2023-06-29,MSFT,Vanguard Institutional Index Fund-Institutional Index Fund,50756950,18096375321
2023-09-29,MSFT,Growth Fund Of America Inc,39310503,14015373586
2023-08-30,MSFT,Vanguard Information Technology Index Fund,39119308,13947206833
2023-06-29,AMD,Vanguard Total Stock Market Index Fund,50219471,5612025884
2023-06-29,AMD,Vanguard 500 Index Fund,38341639,4284678158
2023-08-30,AMD,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",27291631,3049839764
2023-08-30,AMD,Fidelity 500 Index Fund,18448521,2061622221
2023-09-29,AMD,SPDR S&P 500 ETF Trust,18165814,2030029714
2023-09-29,AMD,iShares Core S&P 500 ETF,15279567,1707491612
2023-06-29,AMD,Vanguard Growth Index Fund,13701288,1531118934
2023-06-29,AMD,Vanguard Institutional Index Fund-Institutional Index Fund,10992810,1228446517
2023-09-29,AMD,Select Sector SPDR Fund-Technology,9639707,1077237257
2023-08-30,AMD,Vanguard Information Technology Index Fund,9027337,1008804909
